Key	Song Title	BPM	Artist	Genre	Decade	Ultimate Guitar Link	Lyrics Link	
C	Blister In The Sun	163	Violent Femmes	Alternative Rock	1980s	https://tabs.ultimate-guitar.com/tab/violent-femmes/blister-in-the-sun-chords	https://genius.com/Violent-femmes-blister-in-the-sun-lyrics	
G	Brown Eyed Girl	74	Van Morrison	Pop Rock	1960s	https://tabs.ultimate-guitar.com/tab/van-morrison/brown-eyed-girl-chords	https://genius.com/Van-morrison-brown-eyed-girl-lyrics	
G	Build Me Up Buttercup	136	The Foundations	Pop	1960s	https://tabs.ultimate-guitar.com/tab/the-foundations/build-me-up-buttercup-chords	https://genius.com/The-foundations-build-me-up-buttercup-lyrics	
C	Bye Bye Bye	96	*NSYNC	Pop	1990s	https://tabs.ultimate-guitar.com/tab/nsync/bye-bye-bye-chords	https://genius.com/Nsync-bye-bye-bye-lyrics	
C	Celebration	126	Kool & The Gang	Funk/Disco	1980s	https://tabs.ultimate-guitar.com/tab/kool-the-gang/celebration-chords	https://genius.com/Kool-the-gang-celebration-lyrics	
G	Chicken Fried	92	Zac Brown Band	Country	2000s	https://tabs.ultimate-guitar.com/tab/zac-brown-band/chicken-fried-chords	https://genius.com/Zac-brown-band-chicken-fried-lyrics	
C	Come On Eileen	136	Dexys Midnight Runners	New Wave	1980s	https://tabs.ultimate-guitar.com/tab/dexys-midnight-runners/come-on-eileen-chords	https://genius.com/Dexys-midnight-runners-come-on-eileen-lyrics	
C	Country Girl	100	Luke Bryan	Country	2010s	https://tabs.ultimate-guitar.com/tab/luke-bryan/country-girl-chords	https://genius.com/Luke-bryan-country-girl-lyrics	
C	Crocodile Rock	130	Elton John	Pop Rock	1970s	https://tabs.ultimate-guitar.com/tab/elton-john/crocodile-rock-chords	https://genius.com/Elton-john-crocodile-rock-lyrics	
E	Devil Went Down To Georgia	145	Charlie Daniels Band	Country Rock	1970s	https://tabs.ultimate-guitar.com/tab/charlie-daniels-band/devil-went-down-to-georgia-chords	https://genius.com/Charlie-daniels-band-devil-went-down-to-georgia-lyrics	
A	Don't Stop Believin	119	Journey	Rock	1980s	https://tabs.ultimate-guitar.com/tab/journey/dont-stop-believin-chords	https://genius.com/Journey-dont-stop-believin-lyrics	
B	Drift Away	95	Dobie Gray	Rock	1970s	https://tabs.ultimate-guitar.com/tab/dobie-gray/drift-away-chords	https://genius.com/Dobie-gray-drift-away-lyrics	
C	Drops Of Jupiter	128	Train	Pop Rock	2000s	https://tabs.ultimate-guitar.com/tab/train/drops-of-jupiter-chords	https://genius.com/Train-drops-of-jupiter-lyrics	
E	Enter Sandman	123	Metallica	Heavy Metal	1990s	https://tabs.ultimate-guitar.com/tab/metallica/enter-sandman-chords	https://genius.com/Metallica-enter-sandman-lyrics	
G	Faithfully	108	Journey	Rock Ballad	1980s	https://tabs.ultimate-guitar.com/tab/journey/faithfully-chords	https://genius.com/Journey-faithfully-lyrics	
E	Family Tradition	120	Hank Williams Jr.	Country	1970s			
E	Folsom Prison Blues	100	Johnny Cash	Country	1960s	https://tabs.ultimate-guitar.com/tab/johnny-cash/folsom-prison-blues-chords	https://genius.com/Johnny-cash-folsom-prison-blues-lyrics	
G	Footloose	106	Kenny Loggins	Pop Rock	1980s	https://tabs.ultimate-guitar.com/tab/kenny-loggins/footloose-chords	https://genius.com/Kenny-loggins-footloose-lyrics	
G	Forget You	128	Cee Lo Green	Soul/Pop	2010s	https://tabs.ultimate-guitar.com/tab/cee-lo-green/forget-you-chords	https://genius.com/Cee-lo-green-forget-you-lyrics	
A	Friends In Low Places	135	Garth Brooks	Country	1990s	https://tabs.ultimate-guitar.com/tab/garth-brooks/friends-in-low-places-chords	https://genius.com/Garth-brooks-friends-in-low-places-lyrics	
C	Great Balls Of Fire	160	Jerry Lee Lewis	Rock and Roll	1950s	https://tabs.ultimate-guitar.com/tab/jerry-lee-lewis/great-balls-of-fire-chords	https://genius.com/Jerry-lee-lewis-great-balls-of-fire-lyrics	
F	Hey Jude	72	The Beatles	Rock	1960s	https://tabs.ultimate-guitar.com/tab/the-beatles/hey-jude-chords	https://genius.com/The-beatles-hey-jude-lyrics	
D	Hey Ya!	160	OutKast	Hip Hop/Funk	2000s	https://tabs.ultimate-guitar.com/tab/outkast/hey-ya-chords	https://genius.com/Outkast-hey-ya-lyrics	
C	Baby One More Time	93	Britney Spears	Pop	1990s	https://tabs.ultimate-guitar.com/tab/britney-spears/baby-one-more-time-chords	https://genius.com/Britney-spears-baby-one-more-time-lyrics	
Bm	Hotel California	74	Eagles	Rock	1970s	https://tabs.ultimate-guitar.com/tab/eagles/hotel-california-chords	https://genius.com/Eagles-hotel-california-lyrics	
E?	I Love Rock N Roll	94	Joan Jett & the Blackhearts	Rock	1980s	https://tabs.ultimate-guitar.com/tab/joan-jett-the-blackhearts/i-love-rock-n-roll-chords	https://genius.com/Joan-jett-the-blackhearts-i-love-rock-n-roll-lyrics	
G	I'm A Believer	168	The Monkees	Pop Rock	1960s	https://tabs.ultimate-guitar.com/tab/the-monkees/im-a-believer-chords	https://genius.com/The-monkees-im-a-believer-lyrics	
G	I'm Gonna Be (500 Miles)	131	The Proclaimers	Pop Rock	1980s	https://tabs.ultimate-guitar.com/tab/the-proclaimers/im-gonna-be-500-miles-chords	https://genius.com/The-proclaimers-im-gonna-be-500-miles-lyrics	
A?	Ice Ice Baby	115	Vanilla Ice	Hip Hop	1990s	https://tabs.ultimate-guitar.com/tab/vanilla-ice/ice-ice-baby-chords	https://genius.com/Vanilla-ice-ice-ice-baby-lyrics	
A?	Jack & Diane	120	John Mellencamp	Rock	1980s	https://tabs.ultimate-guitar.com/tab/john-mellencamp/jack-diane-chords	https://genius.com/John-mellencamp-jack-diane-lyrics	
D	Jailhouse Rock	168	Elvis Presley	Rock and Roll	1950s	https://tabs.ultimate-guitar.com/tab/elvis-presley/jailhouse-rock-chords	https://genius.com/Elvis-presley-jailhouse-rock-lyrics	
D	Jessie's Girl	132	Rick Springfield	Pop Rock	1980s	https://tabs.ultimate-guitar.com/tab/rick-springfield/jessies-girl-chords	https://genius.com/Rick-springfield-jessies-girl-lyrics	
Bb?	Johnny B Goode	170	Chuck Berry	Rock and Roll	1950s	https://tabs.ultimate-guitar.com/tab/chuck-berry/johnny-b-goode-chords	https://genius.com/Chuck-berry-johnny-b-goode-lyrics	
D?	Joy To The World	108	Three Dog Night	Rock	1970s	https://tabs.ultimate-guitar.com/tab/three-dog-night/joy-to-the-world-chords	https://genius.com/Three-dog-night-joy-to-the-world-lyrics	
C	Jump	140	Van Halen	Rock	1980s	https://tabs.ultimate-guitar.com/tab/van-halen/jump-chords	https://genius.com/Van-halen-jump-lyrics	
C	Lean On Me	100	Bill Withers	Soul	1970s	https://tabs.ultimate-guitar.com/tab/bill-withers/lean-on-me-chords	https://genius.com/Bill-withers-lean-on-me-lyrics	
Em	Livin On A Prayer	123	Bon Jovi	Rock	1980s	https://tabs.ultimate-guitar.com/tab/bon-jovi/livin-on-a-prayer-chords	https://genius.com/Bon-jovi-livin-on-a-prayer-lyrics	
Bb	Love Shack	170	The B-52's	New Wave	1980s	https://tabs.ultimate-guitar.com/tab/the-b-52s/love-shack-chords	https://genius.com/The-b-52s-love-shack-lyrics	
D?	Love Story	119	Taylor Swift	Country Pop	2000s	https://tabs.ultimate-guitar.com/tab/taylor-swift/love-story-chords	https://genius.com/Taylor-swift-love-story-lyrics	
D	Margaritaville	98	Jimmy Buffett	Country Rock/Soft Rock	1970s	https://tabs.ultimate-guitar.com/tab/jimmy-buffett/margaritaville-chords	https://genius.com/Jimmy-buffett-margaritaville-lyrics	
C	Mr Brightside	148	The Killers	Rock	2000s	https://tabs.ultimate-guitar.com/tab/the-killers/mr-brightside-chords	https://genius.com/The-killers-mr-brightside-lyrics	
C	Mustang Sally	114	Wilson Pickett	Soul	1960s	https://tabs.ultimate-guitar.com/tab/wilson-pickett/mustang-sally-chords	https://genius.com/Wilson-pickett-mustang-sally-lyrics	
C	My Girl	100	The Temptations	Motown/Soul	1960s	https://tabs.ultimate-guitar.com/tab/the-temptations/my-girl-chords	https://genius.com/The-temptations-my-girl-lyrics	
E	No Diggity	88	Blackstreet ft. Dr. Dre	R&B/Hip Hop	1990s	https://tabs.ultimate-guitar.com/tab/blackstreet-ft-dr-dre/no-diggity-chords	https://genius.com/Blackstreet-ft-dr-dre-no-diggity-lyrics	
C	Old Time Rock And Roll	118	Bob Seger	Rock	1970s	https://tabs.ultimate-guitar.com/tab/bob-seger/old-time-rock-and-roll-chords	https://genius.com/Bob-seger-old-time-rock-and-roll-lyrics	
C?	Piano Man	180	Billy Joel	Soft Rock	1970s	https://tabs.ultimate-guitar.com/tab/billy-joel/piano-man-chords	https://genius.com/Billy-joel-piano-man-lyrics	
E	Play That Funky Music	110	Wild Cherry	Funk/Disco	1970s	https://tabs.ultimate-guitar.com/tab/wild-cherry/play-that-funky-music-chords	https://genius.com/Wild-cherry-play-that-funky-music-lyrics	
Cm?	Pony	107	Ginuwine	R&B	1990s	https://tabs.ultimate-guitar.com/tab/ginuwine/pony-chords	https://genius.com/Ginuwine-pony-lyrics	
E?	Pour Some Sugar On Me	103	Def Leppard	Rock	1980s	https://tabs.ultimate-guitar.com/tab/def-leppard/pour-some-sugar-on-me-chords	https://genius.com/Def-leppard-pour-some-sugar-on-me-lyrics	
D	Proud Mary	128	Creedence Clearwater Revival	Rock	1960s	https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/proud-mary-chords	https://genius.com/Creedence-clearwater-revival-proud-mary-lyrics	
C?	Respect	115	Aretha Franklin	Soul	1960s	https://tabs.ultimate-guitar.com/tab/aretha-franklin/respect-chords	https://genius.com/Aretha-franklin-respect-lyrics	
E	Ring Of Fire	105	Johnny Cash	Country	1960s	https://tabs.ultimate-guitar.com/tab/johnny-cash/ring-of-fire-chords	https://genius.com/Johnny-cash-ring-of-fire-lyrics	
Gm	Rocket Man	106	Elton John	Pop Rock	1970s	https://tabs.ultimate-guitar.com/tab/elton-john/rocket-man-chords	https://genius.com/Elton-john-rocket-man-lyrics	
C?	SexyBack	120	Justin Timberlake	Pop/R&B	2000s	https://tabs.ultimate-guitar.com/tab/justin-timberlake/sexyback-chords	https://genius.com/Justin-timberlake-sexyback-lyrics	
G?	Shake It Off	160	Taylor Swift	Pop	2010s	https://tabs.ultimate-guitar.com/tab/taylor-swift/shake-it-off-chords	https://genius.com/Taylor-swift-shake-it-off-lyrics	
C#	Shut Up And Dance	128	Walk the Moon	Pop Rock	2010s	https://tabs.ultimate-guitar.com/tab/walk-the-moon/shut-up-and-dance-chords	https://genius.com/Walk-the-moon-shut-up-and-dance-lyrics	
F	Signed Sealed Delivered	120	Stevie Wonder	Soul/Funk	1970s	https://tabs.ultimate-guitar.com/tab/stevie-wonder/signed-sealed-delivered-chords	https://genius.com/Stevie-wonder-signed-sealed-delivered-lyrics	
G	Stand By Me	116	Ben E. King	Soul	1960s	https://tabs.ultimate-guitar.com/tab/ben-e-king/stand-by-me-chords	https://genius.com/Ben-e-king-stand-by-me-lyrics	
Eb	Superstition	100	Stevie Wonder	Funk/Soul	1970s	https://tabs.ultimate-guitar.com/tab/stevie-wonder/superstition-chords	https://genius.com/Stevie-wonder-superstition-lyrics	
B	Sweet Caroline	125	Neil Diamond	Pop Rock	1960s	https://tabs.ultimate-guitar.com/tab/neil-diamond/sweet-caroline-chords	https://genius.com/Neil-diamond-sweet-caroline-lyrics	
D	Sweet Home Alabama	100	Lynyrd Skynyrd	Southern Rock	1970s	https://tabs.ultimate-guitar.com/tab/lynyrd-skynyrd/sweet-home-alabama-chords	https://genius.com/Lynyrd-skynyrd-sweet-home-alabama-lyrics	
G	Country Road	86	John Denver	Country Folk	1970s	https://tabs.ultimate-guitar.com/tab/john-denver/country-road-chords	https://genius.com/John-denver-country-road-lyrics	
A?	Take On Me	169	A-ha	Synthpop	1980s	https://tabs.ultimate-guitar.com/tab/a-ha/take-on-me-chords	https://genius.com/A-ha-take-on-me-lyrics	
A	Tennessee Whiskey	76	Chris Stapleton	Country/Soul	2010s	https://tabs.ultimate-guitar.com/tab/chris-stapleton/tennessee-whiskey-chords	https://genius.com/Chris-stapleton-tennessee-whiskey-lyrics	
G	The Joker	82	Steve Miller Band	Rock	1970s	https://tabs.ultimate-guitar.com/tab/steve-miller-band/the-joker-chords	https://genius.com/Steve-miller-band-the-joker-lyrics	
G?	This Is How We Do It	90	Montell Jordan	R&B/Hip Hop	1990s	https://tabs.ultimate-guitar.com/tab/montell-jordan/this-is-how-we-do-it-chords	https://genius.com/Montell-jordan-this-is-how-we-do-it-lyrics	
C	Tiny Dancer	76	Elton John	Pop Rock	1970s	https://tabs.ultimate-guitar.com/tab/elton-john/tiny-dancer-chords	https://genius.com/Elton-john-tiny-dancer-lyrics	
D?	Tubthumping	140	Chumbawamba	Alternative Rock	1990s	https://tabs.ultimate-guitar.com/tab/chumbawamba/tubthumping-chords	https://genius.com/Chumbawamba-tubthumping-lyrics	
C	Twist And Shout	126	The Beatles	Rock and Roll	1960s	https://tabs.ultimate-guitar.com/tab/the-beatles/twist-and-shout-chords	https://genius.com/The-beatles-twist-and-shout-lyrics	
Dm	Uptown Funk	115	Mark Ronson ft. Bruno Mars	Funk/Pop	2010s	https://tabs.ultimate-guitar.com/tab/mark-ronson-ft-bruno-mars/uptown-funk-chords	https://genius.com/Mark-ronson-ft-bruno-mars-uptown-funk-lyrics	
G	Wagon Wheel	160	Darius Rucker	Country Rock	2000s	https://tabs.ultimate-guitar.com/tab/darius-rucker/wagon-wheel-chords	https://genius.com/Darius-rucker-wagon-wheel-lyrics	
D	Wanted Dead Or Alive	120	Bon Jovi	Rock	1980s	https://tabs.ultimate-guitar.com/tab/bon-jovi/wanted-dead-or-alive-chords	https://genius.com/Bon-jovi-wanted-dead-or-alive-lyrics	
G	What's Up	124	Four Non Blondes	Alternative Rock	1990s	https://tabs.ultimate-guitar.com/tab/four-non-blondes/whats-up-chords	https://genius.com/Four-non-blondes-whats-up-lyrics	
Em?	Wonderwall	87	Oasis	Rock	1990s	https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-chords	https://genius.com/Oasis-wonderwall-lyrics	
D	Dreams (ABB)	104	Allman Brothers Band	Southern Rock	1970s	https://tabs.ultimate-guitar.com/tab/allman-brothers-band/dreams-abb-chords	https://genius.com/Allman-brothers-band-dreams-abb-lyrics	
G?	You Shook Me All Night Long	120	AC/DC	Rock	1980s	https://tabs.ultimate-guitar.com/tab/acdc/you-shook-me-all-night-long-chords	https://genius.com/Acdc-you-shook-me-all-night-long-lyrics	
F	5 o'clock Somewhere	114	Alan Jackson & Jimmy Buffett	Country	2000s	https://tabs.ultimate-guitar.com/tab/alan-jackson/its-five-oclock-somewhere-chords-177062	https://genius.com/Alan-jackson-its-five-oclock-somewhere-lyrics
A	Boot Scootin Boogie	184	Brooks & Dunn	Country	1990s	https://tabs.ultimate-guitar.com/tab/brooks-and-dunn/boot-scootin-boogie-chords-15953	https://genius.com/Brooks-and-dunn-boot-scootin-boogie-lyrics
E	Born to Run	148	Bruce Springsteen	Rock	1970s	https://tabs.ultimate-guitar.com/tab/bruce-springsteen/born-to-run-chords-12180	https://genius.com/Bruce-springsteen-born-to-run-lyrics
Ab	Brick House	109	Commodores	Funk	1970s	https://tabs.ultimate-guitar.com/tab/commodores/brick-house-chords-35619	https://genius.com/Commodores-brick-house-lyrics
D	Callin On Baton Rouge	176	Garth Brooks	Country	1990s	https://tabs.ultimate-guitar.com/tab/garth-brooks/callin-baton-rouge-chords-81480	https://genius.com/Garth-brooks-callin-baton-rouge-lyrics
C	Can't Stop the Feeling	113	Justin Timberlake	Pop	2010s	https://tabs.ultimate-guitar.com/tab/justin-timberlake/cant-stop-the-feeling-chords-1772376	https://genius.com/Justin-timberlake-cant-stop-the-feeling-lyrics
F	Can't Take My Eyes off of You	128	Frankie Valli	Pop	1960s	https://tabs.ultimate-guitar.com/tab/frankie-valli/cant-take-my-eyes-off-you-chords-86053	https://genius.com/Frankie-valli-cant-take-my-eyes-off-you-lyrics
C	Come Sail Away	132	Styx	Rock	1970s	https://tabs.ultimate-guitar.com/tab/styx/com-sail-away-chords-165023	https://genius.com/Styx-come-sail-away-lyrics
D	Copperhead Road	124	Steve Earle	Country Rock	1980s	https://tabs.ultimate-guitar.com/tab/steve-earle/copperhead-road-chords-11082	https://genius.com/Steve-earle-copperhead-road-lyrics
D	Crazy Little Thing Called Love	160	Queen	Rock	1970s	https://tabs.ultimate-guitar.com/tab/queen/crazy-little-thing-called-love-chords-14364	https://genius.com/Queen-crazy-little-thing-called-love-lyrics
Fm	Cupid Shuffle	144	Cupid	R&B	2000s	https://tabs.ultimate-guitar.com/tab/cupid/cupid-shuffle-chords-1056638	https://genius.com/Cupid-cupid-shuffle-lyrics
F	December, 1963 (Oh, What A Night)	106	The Four Seasons	Pop	1970s	https://tabs.ultimate-guitar.com/tab/the-four-seasons/december-1963-oh-what-a-night-chords-194135	https://genius.com/The-four-seasons-december-1963-oh-what-a-night-lyrics
D	Escape (The Pina Colada Song)	100	Rupert Holmes	Pop	1970s	https://tabs.ultimate-guitar.com/tab/rupert-holmes/escape-the-pina-colada-song-chords-11800	https://genius.com/Rupert-holmes-escape-the-pina-colada-song-lyrics
Cm	Eye of the Tiger	109	Survivor	Rock	1980s	https://tabs.ultimate-guitar.com/tab/survivor/eye-of-the-tiger-chords-36957	https://genius.com/Survivor-eye-of-the-tiger-lyrics
C	Fat Bottom Girls	89	Queen	Rock	1970s	https://tabs.ultimate-guitar.com/tab/queen/fat-bottomed-girls-chords-86314	https://genius.com/Queen-fat-bottomed-girls-lyrics
F	Happy	160	Pharrell Williams	Pop	2010s	https://tabs.ultimate-guitar.com/tab/pharrell-williams/happy-chords-1455797	https://genius.com/Pharrell-williams-happy-lyrics
D	I Believe in a Thing Called Love	160	The Darkness	Rock	2000s	https://tabs.ultimate-guitar.com/tab/the-darkness/i-believe-in-a-thing-called-love-chords-17683	https://genius.com/The-darkness-i-believe-in-a-thing-called-love-lyrics
D	I Don't Want to Miss a Thing	84	Aerosmith	Rock	1990s	https://tabs.ultimate-guitar.com/tab/aerosmith/i-dont-want-to-miss-a-thing-chords-168287	https://genius.com/Aerosmith-i-dont-want-to-miss-a-thing-lyrics
G	I Got a Feeling	128	Black Eyed Peas	Pop	2000s	https://tabs.ultimate-guitar.com/tab/black-eyed-peas/i-gotta-feeling-chords-846620	https://genius.com/The-black-eyed-peas-i-gotta-feeling-lyrics
F#	I Wanna Dance with Somebody	119	Whitney Houston	Pop	1980s	https://tabs.ultimate-guitar.com/tab/whitney-houston/i-wanna-dance-with-somebody-chords-142577	https://genius.com/Whitney-houston-i-wanna-dance-with-somebody-lyrics
F#	I Want It That Way	99	Backstreet Boys	Pop	1990s	https://tabs.ultimate-guitar.com/tab/backstreet-boys/i-want-it-that-way-chords-15369	https://genius.com/Backstreet-boys-i-want-it-that-way-lyrics
G	I Want to Hold Your Hand	130	The Beatles	Rock and Roll	1960s	https://tabs.ultimate-guitar.com/tab/the-beatles/i-want-to-hold-your-hand-chords-45867	https://genius.com/The-beatles-i-want-to-hold-your-hand-lyrics
Am	I Will Survive	117	Gloria Gaynor	Disco	1970s	https://tabs.ultimate-guitar.com/tab/gloria-gaynor/i-will-survive-chords-89449	https://genius.com/Gloria-gaynor-i-will-survive-lyrics
E	Isn't She Lovely	126	Stevie Wonder	Soul	1970s	https://tabs.ultimate-guitar.com/tab/stevie-wonder/isnt-she-lovely-chords-117337	https://genius.com/Stevie-wonder-isnt-she-lovely-lyrics
Gm	It's Raining Men	122	The Weather Girls	Disco	1980s	https://tabs.ultimate-guitar.com/tab/the-weather-girls/its-raining-men-chords-118582	https://genius.com/The-weather-girls-its-raining-men-lyrics
C	Just a Friend	96	Biz Markie	Hip Hop	1980s	https://tabs.ultimate-guitar.com/tab/biz-markie/just-a-friend-chords-80804	https://genius.com/Biz-markie-just-a-friend-lyrics
C	Let It Be	72	The Beatles	Rock	1970s	https://tabs.ultimate-guitar.com/tab/the-beatles/let-it-be-chords-42431	https://genius.com/The-beatles-let-it-be-lyrics
C	Like a Virgin	118	Madonna	Pop	1980s	https://tabs.ultimate-guitar.com/tab/madonna/like-a-virgin-chords-10232	https://genius.com/Madonna-like-a-virgin-lyrics
G	Living Next Door to Alice	116	Smokie	Pop Rock	1970s	https://tabs.ultimate-guitar.com/tab/smokie/living-next-door-to-alice-chords-96028	https://genius.com/Smokie-living-next-door-to-alice-lyrics
Dm	Lose Yourself	171	Eminem	Hip Hop	2000s	https://tabs.ultimate-guitar.com/tab/eminem/lose-yourself-chords-16175	https://genius.com/Eminem-lose-yourself-lyrics
B	Never Gonna Give You Up	113	Rick Astley	Pop	1980s	https://tabs.ultimate-guitar.com/tab/rick-astley/never-gonna-give-you-up-chords-127233	https://genius.com/Rick-astley-never-gonna-give-you-up-lyrics
Gm	No Scrubs	94	TLC	R&B	1990s	https://tabs.ultimate-guitar.com/tab/tlc/no-scrubs-chords-118558	https://genius.com/Tlc-no-scrubs-lyrics
E	Paradise By the Dashboard Light	86	Meat Loaf	Rock	1970s	https://tabs.ultimate-guitar.com/tab/meat-loaf/paradise-by-the-dashboard-light-chords-11814	https://genius.com/Meat-loaf-paradise-by-the-dashboard-light-lyrics
Fm	Party Rock	130	LMFAO	Dance Pop	2010s	https://tabs.ultimate-guitar.com/tab/lmfao/party-rock-anthem-chords-1166265	https://genius.com/Lmfao-party-rock-anthem-lyrics
Fm	Push It	128	Salt-N-Pepa	Hip Hop	1980s	https://tabs.ultimate-guitar.com/tab/salt-n-pepa/push-it-chords-90837	https://genius.com/Salt-n-pepa-push-it-lyrics
A	Redneck Woman	120	Gretchen Wilson	Country	2000s	https://tabs.ultimate-guitar.com/tab/gretchen-wilson/redneck-woman-chords-16289	https://genius.com/Gretchen-wilson-redneck-woman-lyrics
Cm	Rolling in the Deep	105	Adele	Pop	2010s	https://tabs.ultimate-guitar.com/tab/adele/rolling-in-the-deep-chords-1009297	https://genius.com/Adele-rolling-in-the-deep-lyrics
G	Save a Horse (Ride a Cowboy)	120	Big & Rich	Country	2000s	https://tabs.ultimate-guitar.com/tab/big-and-rich/save-a-horse-ride-a-cowboy-chords-17065	https://genius.com/Big-and-rich-save-a-horse-ride-a-cowboy-lyrics
Ab	September	126	Earth, Wind & Fire	Funk	1970s	https://tabs.ultimate-guitar.com/tab/earth-wind-and-fire/september-chords-22248	https://genius.com/Earth-wind-and-fire-september-lyrics
Fm	Shoop	99	Salt-N-Pepa	Hip Hop	1990s	https://tabs.ultimate-guitar.com/tab/salt-n-pepa/shoop-chords-125919	https://genius.com/Salt-n-pepa-shoop-lyrics
F	Shout	128	The Isley Brothers	R&B	1950s	https://tabs.ultimate-guitar.com/tab/the-isley-brothers/shout-chords-244475	https://genius.com/The-isley-brothers-shout-lyrics
E	Single Ladies	97	Beyonce	Pop	2000s	https://tabs.ultimate-guitar.com/tab/beyonce/single-ladies-put-a-ring-on-it-chords-829776	https://genius.com/Beyonce-single-ladies-put-a-ring-on-it-lyrics
D	Sugar We're Going Down	163	Fall Out Boy	Pop Punk	2000s	https://tabs.ultimate-guitar.com/tab/fall-out-boy/sugar-were-goin-down-chords-37420	https://genius.com/Fall-out-boy-sugar-were-goin-down-lyrics
D	Sweet Child O' Mine	125	Guns N' Roses	Rock	1980s	https://tabs.ultimate-guitar.com/tab/guns-n-roses/sweet-child-o-mine-chords-20035	https://genius.com/Guns-n-roses-sweet-child-o-mine-lyrics
G	The Edge of Glory	128	Lady Gaga	Pop	2010s	https://tabs.ultimate-guitar.com/tab/lady-gaga/the-edge-of-glory-chords-1035905	https://genius.com/Lady-gaga-the-edge-of-glory-lyrics
Ab	Total Eclipse of the Heart	66	Bonnie Tyler	Pop Rock	1980s	https://tabs.ultimate-guitar.com/tab/bonnie-tyler/total-eclipse-of-the-heart-chords-85239	https://genius.com/Bonnie-tyler-total-eclipse-of-the-heart-lyrics
B	Unwritten	108	Natasha Bedingfield	Pop	2000s	https://tabs.ultimate-guitar.com/tab/natasha-bedingfield/unwritten-chords-69263	https://genius.com/Natasha-bedingfield-unwritten-lyrics
B	Wannabe	110	Spice Girls	Pop	1990s	https://tabs.ultimate-guitar.com/tab/spice-girls/wannabe-chords-10639	https://genius.com/Spice-girls-wannabe-lyrics
Ab	We Are Family	119	Sister Sledge	Disco	1970s	https://tabs.ultimate-guitar.com/tab/sister-sledge/we-are-family-chords-123298	https://genius.com/Sister-sledge-we-are-family-lyrics
Cm	Yeah	105	Usher	R&B	2000s	https://tabs.ultimate-guitar.com/tab/usher/yeah-chords-87201	https://genius.com/Usher-yeah-lyrics
C	You Can't Always Get What You Want	97	The Rolling Stones	Rock	1960s	https://tabs.ultimate-guitar.com/tab/the-rolling-stones/you-cant-always-get-what-you-want-chords-15572	https://genius.com/The-rolling-stones-you-cant-always-get-what-you-want-lyrics
