Key	Song Title	BPM	Artist	Genre	Decade	Ultimate Guitar Link	Lyrics Link	
E	Don't Mess Around With Jim	108	Jim Croce	Folk Pop	1970s	https://tabs.ultimate-guitar.com/tab/jim-croce/dont-mess-around-with-jim-chords	https://genius.com/Jim-croce-dont-mess-around-with-jim-lyrics	
G	Don't Rock The Jukebox	140	Alan Jackson	Country	1990s	https://tabs.ultimate-guitar.com/tab/alan-jackson/dont-rock-the-jukebox-chords	https://genius.com/Alan-jackson-dont-rock-the-jukebox-lyrics	
E	Don't You Forget About Me	112	Simple Minds	New Wave	1980s	https://tabs.ultimate-guitar.com/tab/simple-minds/dont-you-forget-about-me-chords	https://genius.com/Simple-minds-dont-you-forget-about-me-lyrics	
F	Don't	90	Ed Sheeran	Pop	2010s	https://tabs.ultimate-guitar.com/tab/ed-sheeran/dont-chords	https://genius.com/Ed-sheeran-dont-lyrics	
C	Down On The Corner	103	Creedence Clearwater Revival	Rock	1960s	https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/down-on-the-corner-chords	https://genius.com/Creedence-clearwater-revival-down-on-the-corner-lyrics	
D	Dream	138	Roy Orbison	Pop	1960s	https://tabs.ultimate-guitar.com/tab/roy-orbison/dream-chords	https://genius.com/Roy-orbison-dream-lyrics	
F	Dream Dream Dream	120	The Everly Brothers	Rock and Roll	1950s	https://tabs.ultimate-guitar.com/tab/the-everly-brothers/dream-dream-dream-chords	https://genius.com/The-everly-brothers-dream-dream-dream-lyrics	
C?	Dream Lover	130	Bobby Darin	Pop	1950s	https://tabs.ultimate-guitar.com/tab/bobby-darin/dream-lover-chords	https://genius.com/Bobby-darin-dream-lover-lyrics	
D	Dreams (ABB)	104	Allman Brothers Band	Southern Rock	1970s	https://tabs.ultimate-guitar.com/tab/allman-brothers-band/dreams-abb-chords	https://genius.com/Allman-brothers-band-dreams-abb-lyrics	
C	Dreams (Fleetwood)	120	Fleetwood Mac	Soft Rock	1970s	https://tabs.ultimate-guitar.com/tab/fleetwood-mac/dreams-fleetwood-chords	https://genius.com/Fleetwood-mac-dreams-fleetwood-lyrics	
B	Drift Away	95	Dobie Gray	Rock	1970s	https://tabs.ultimate-guitar.com/tab/dobie-gray/drift-away-chords	https://genius.com/Dobie-gray-drift-away-lyrics	
Em	Drive (Incubus)	96	Incubus	Alternative Rock	1990s	https://tabs.ultimate-guitar.com/tab/incubus/drive-incubus-chords	https://genius.com/Incubus-drive-incubus-lyrics	
A	Drive (The Cars)	146	The Cars	New Wave	1980s	https://tabs.ultimate-guitar.com/tab/the-cars/drive-the-cars-chords	https://genius.com/The-cars-drive-the-cars-lyrics	
C	Drops Of Jupiter	128	Train	Pop Rock	2000s	https://tabs.ultimate-guitar.com/tab/train/drops-of-jupiter-chords	https://genius.com/Train-drops-of-jupiter-lyrics	
Em	Early In The Morning	120	Creedence Clearwater Revival	Rock	1960s	https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/early-in-the-morning-chords	https://genius.com/Creedence-clearwater-revival-early-in-the-morning-lyrics	
E	Enter Sandman	123	Metallica	Heavy Metal	1990s	https://tabs.ultimate-guitar.com/tab/metallica/enter-sandman-chords	https://genius.com/Metallica-enter-sandman-lyrics	
C	Everybody (Backstreet's Back)	100	Backstreet Boys	Pop	1990s	https://tabs.ultimate-guitar.com/tab/backstreet-boys/everybody-backstreets-back-chords	https://genius.com/Backstreet-boys-everybody-backstreets-back-lyrics	
D	Everybody Wants To Rule The World	112	Tears for Fears	New Wave/Pop	1980s	https://tabs.ultimate-guitar.com/tab/tears-for-fears/everybody-wants-to-rule-the-world-chords	https://genius.com/Tears-for-fears-everybody-wants-to-rule-the-world-lyrics	
G	Every Rose Has Its Thorn	70	Poison	Rock Ballad	1980s	https://tabs.ultimate-guitar.com/tab/poison/every-rose-has-its-thorn-chords	https://genius.com/Poison-every-rose-has-its-thorn-lyrics	
D	Everything I Wanted	120	Billie Eilish	Alternative/Pop	2010s	https://tabs.ultimate-guitar.com/tab/billie-eilish/everything-i-wanted-chords	https://genius.com/Billie-eilish-everything-i-wanted-lyrics	
C	Faith	120	George Michael	Pop	1980s	https://tabs.ultimate-guitar.com/tab/george-michael/faith-chords	https://genius.com/George-michael-faith-lyrics	
G	Faithfully	108	Journey	Rock Ballad	1980s	https://tabs.ultimate-guitar.com/tab/journey/faithfully-chords	https://genius.com/Journey-faithfully-lyrics	
E	Family Tradition	120	Hank Williams Jr.	Country	1970s			
D	Feel Like Making Love	84	Bad Company	Rock	1970s	https://tabs.ultimate-guitar.com/tab/bad-company/feel-like-making-love-chords	https://genius.com/Bad-company-feel-like-making-love-lyrics	
Bm	Fight For Your Right	98	Beastie Boys	Hip Hop/Rock	1980s	https://tabs.ultimate-guitar.com/tab/beastie-boys/fight-for-your-right-chords	https://genius.com/Beastie-boys-fight-for-your-right-lyrics	
Em	Fifty Ways To Leave Your Lover	112	Paul Simon	Pop Rock	1970s	https://tabs.ultimate-guitar.com/tab/paul-simon/fifty-ways-to-leave-your-lover-chords	https://genius.com/Paul-simon-fifty-ways-to-leave-your-lover-lyrics	
C	Fire and Rain	75	James Taylor	Folk Rock	1970s	https://tabs.ultimate-guitar.com/tab/james-taylor/fire-and-rain-chords	https://genius.com/James-taylor-fire-and-rain-lyrics	
C?	Flowers	120	Miley Cyrus	Pop	2020s	https://tabs.ultimate-guitar.com/tab/miley-cyrus/flowers-chords	https://genius.com/Miley-cyrus-flowers-lyrics	
Am	Fly Away	96	Lenny Kravitz	Rock	1990s	https://tabs.ultimate-guitar.com/tab/lenny-kravitz/fly-away-chords	https://genius.com/Lenny-kravitz-fly-away-lyrics	
Bb	Fly Me To The Moon	138	Frank Sinatra	Jazz Standard	1960s	https://tabs.ultimate-guitar.com/tab/frank-sinatra/fly-me-to-the-moon-chords	https://genius.com/Frank-sinatra-fly-me-to-the-moon-lyrics	
E	Folsom Prison Blues	100	Johnny Cash	Country	1960s	https://tabs.ultimate-guitar.com/tab/johnny-cash/folsom-prison-blues-chords	https://genius.com/Johnny-cash-folsom-prison-blues-lyrics	
E	Forever Young	100	Rod Stewart	Rock	1980s	https://tabs.ultimate-guitar.com/tab/rod-stewart/forever-young-chords	https://genius.com/Rod-stewart-forever-young-lyrics	
G	Footloose	106	Kenny Loggins	Pop Rock	1980s	https://tabs.ultimate-guitar.com/tab/kenny-loggins/footloose-chords	https://genius.com/Kenny-loggins-footloose-lyrics	
G	Forget You	128	Cee Lo Green	Soul/Pop	2010s	https://tabs.ultimate-guitar.com/tab/cee-lo-green/forget-you-chords	https://genius.com/Cee-lo-green-forget-you-lyrics	
G	Fortunate Son	138	Creedence Clearwater Revival	Rock	1960s	https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/fortunate-son-chords	https://genius.com/Creedence-clearwater-revival-fortunate-son-lyrics	
D	Free Bird	62	Lynyrd Skynyrd	Southern Rock	1970s	https://tabs.ultimate-guitar.com/tab/lynyrd-skynyrd/free-bird-chords	https://genius.com/Lynyrd-skynyrd-free-bird-lyrics	
C	Free Fallin	92	Tom Petty	Rock	1980s	https://tabs.ultimate-guitar.com/tab/tom-petty/free-fallin-chords	https://genius.com/Tom-petty-free-fallin-lyrics	
C	Freeze Frame	140	J. Geils Band	Rock	1980s	https://tabs.ultimate-guitar.com/tab/j-geils-band/freeze-frame-chords	https://genius.com/J-geils-band-freeze-frame-lyrics	
A	Friends In Low Places	135	Garth Brooks	Country	1990s	https://tabs.ultimate-guitar.com/tab/garth-brooks/friends-in-low-places-chords	https://genius.com/Garth-brooks-friends-in-low-places-lyrics	
G	Fuck You	128	Cee Lo Green	Soul/Pop	2010s		https://genius.com/128-cee-lo-green-lyrics	
Ab	Gangsta's Paradise	80	Coolio ft. L.V.	Hip Hop	1990s	https://tabs.ultimate-guitar.com/tab/coolio-ft-lv/gangstas-paradise-chords	https://genius.com/Coolio-ft-lv-gangstas-paradise-lyrics	
G	Georgia	140	Ray Charles	Soul	1960s	https://tabs.ultimate-guitar.com/tab/ray-charles/georgia-chords	https://genius.com/Ray-charles-georgia-lyrics	
F#	Gimme One Reason	96	Tracy Chapman	Blues Rock	1990s	https://tabs.ultimate-guitar.com/tab/tracy-chapman/gimme-one-reason-chords	https://genius.com/Tracy-chapman-gimme-one-reason-lyrics	
E	Gimme Some Lovin	125	The Spencer Davis Group	Rock/Soul	1960s	https://tabs.ultimate-guitar.com/tab/the-spencer-davis-group/gimme-some-lovin-chords	https://genius.com/The-spencer-davis-group-gimme-some-lovin-lyrics	
C	Girls Just Want To Have Fun	120	Cyndi Lauper	Pop	1980s	https://tabs.ultimate-guitar.com/tab/cyndi-lauper/girls-just-want-to-have-fun-chords	https://genius.com/Cyndi-lauper-girls-just-want-to-have-fun-lyrics	
D	Give Me Three Steps	98	Lynyrd Skynyrd	Southern Rock	1970s	https://tabs.ultimate-guitar.com/tab/lynyrd-skynyrd/give-me-three-steps-chords	https://genius.com/Lynyrd-skynyrd-give-me-three-steps-lyrics	
F	God Bless The USA	80	Lee Greenwood	Country	1980s	https://tabs.ultimate-guitar.com/tab/lee-greenwood/god-bless-the-usa-chords	https://genius.com/Lee-greenwood-god-bless-the-usa-lyrics	
D	Gone	105	Montgomery Gentry	Country	2000s	https://tabs.ultimate-guitar.com/tab/montgomery-gentry/gone-chords	https://genius.com/Montgomery-gentry-gone-lyrics	
G	Good Golly Miss Molly	176	Little Richard	Rock and Roll	1950s	https://tabs.ultimate-guitar.com/tab/little-richard/good-golly-miss-molly-chords	https://genius.com/Little-richard-good-golly-miss-molly-lyrics	
Em	GoodTimes	120	Chic	Disco	1970s	https://tabs.ultimate-guitar.com/tab/chic/goodtimes-chords	https://genius.com/Chic-goodtimes-lyrics	
C	Great Balls Of Fire	160	Jerry Lee Lewis	Rock and Roll	1950s	https://tabs.ultimate-guitar.com/tab/jerry-lee-lewis/great-balls-of-fire-chords	https://genius.com/Jerry-lee-lewis-great-balls-of-fire-lyrics	
E	Green Eyed Lady	120	Sugarloaf	Rock	1970s	https://tabs.ultimate-guitar.com/tab/sugarloaf/green-eyed-lady-chords	https://genius.com/Sugarloaf-green-eyed-lady-lyrics	
B	Hard To Handle	104	The Black Crowes	Rock	1990s	https://tabs.ultimate-guitar.com/tab/the-black-crowes/hard-to-handle-chords	https://genius.com/The-black-crowes-hard-to-handle-lyrics	
C#m	Harder To Breathe	150	Maroon 5	Pop Rock	2000s	https://tabs.ultimate-guitar.com/tab/maroon-5/harder-to-breathe-chords	https://genius.com/Maroon-5-harder-to-breathe-lyrics	
Em	Havana	106	Camila Cabello	Pop/Latin	2010s	https://tabs.ultimate-guitar.com/tab/camila-cabello/havana-chords	https://genius.com/Camila-cabello-havana-lyrics	
A	Have I Told You	96	Van Morrison	Soul	1970s	https://tabs.ultimate-guitar.com/tab/van-morrison/have-i-told-you-chords	https://genius.com/Van-morrison-have-i-told-you-lyrics	
G	Have You Ever Seen The Rain	116	Creedence Clearwater Revival	Rock	1970s	https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/have-you-ever-seen-the-rain-chords	https://genius.com/Creedence-clearwater-revival-have-you-ever-seen-the-rain-lyrics	
A	Heart And Soul	112	Huey Lewis & The News	Rock/Pop	1980s	https://tabs.ultimate-guitar.com/tab/huey-lewis-the-news/heart-and-soul-chords	https://genius.com/Huey-lewis-the-news-heart-and-soul-lyrics	
D	Heartbreak Hotel	136	Elvis Presley	Rock and Roll	1950s	https://tabs.ultimate-guitar.com/tab/elvis-presley/heartbreak-hotel-chords	https://genius.com/Elvis-presley-heartbreak-hotel-lyrics	
E	Her Strut	115	Bob Seger	Rock	1980s	https://tabs.ultimate-guitar.com/tab/bob-seger/her-strut-chords	https://genius.com/Bob-seger-her-strut-lyrics	
F	Here I Am Baby	112	Al Green	Soul	1970s	https://tabs.ultimate-guitar.com/tab/al-green/here-i-am-baby-chords	https://genius.com/Al-green-here-i-am-baby-lyrics	
F	Hey Jude	72	The Beatles	Rock	1960s	https://tabs.ultimate-guitar.com/tab/the-beatles/hey-jude-chords	https://genius.com/The-beatles-hey-jude-lyrics	
E	Hey Joe	82	Jimi Hendrix	Rock	1960s	https://tabs.ultimate-guitar.com/tab/jimi-hendrix/hey-joe-chords	https://genius.com/Jimi-hendrix-hey-joe-lyrics	
D	Hey Ya!	160	OutKast	Hip Hop/Funk	2000s	https://tabs.ultimate-guitar.com/tab/outkast/hey-ya-chords	https://genius.com/Outkast-hey-ya-lyrics	
E?	Hit Me With Your Best Shot	128	Pat Benatar	Rock	1980s	https://tabs.ultimate-guitar.com/tab/pat-benatar/hit-me-with-your-best-shot-chords	https://genius.com/Pat-benatar-hit-me-with-your-best-shot-lyrics	
Abm	Hit The Road Jack	115	Ray Charles	R&B/Soul	1960s	https://tabs.ultimate-guitar.com/tab/ray-charles/hit-the-road-jack-chords	https://genius.com/Ray-charles-hit-the-road-jack-lyrics	
